NACE 2 CODE,Activity Code,Economic Activity,Year,Month,Anastoles-Metapoiisi,Anastoles-Touristiki,Termatismoi-Touristiki,Termatismoi-Alloi,Total
A,1,"Γεωργία, δασοκομία και αλιεία",2013,Απρίλιος,0,0,0,165,165
B,2,Ορυχεία και λατομεία,2013,Απρίλιος,0,0,0,63,63
C,3,Μεταποίηση,2013,Απρίλιος,58,0,0,3096,3154
D,4,"Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού",2013,Απρίλιος,0,0,0,22,22
E,5,"Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης",2013,Απρίλιος,0,0,0,21,21
F,6,Κατασκευές,2013,Απρίλιος,0,0,8,5208,5216
G,7,Χονδρικό και λιανικό εμπόριο.  Επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών,2013,Απρίλιος,0,0,19,6391,6410
H,8,Μεταφορά και αποθήκευση,2013,Απρίλιος,0,0,3,1006,1009
I,9,Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης,2013,Απρίλιος,0,0,2826,2754,5580
J,10,Ενημέρωση και επικοινωνία,2013,Απρίλιος,0,0,1,407,408
K,11,Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες,2013,Απρίλιος,0,0,0,704,704
L,12,Διαχείριση ακίνητης περιουσίας,2013,Απρίλιος,0,0,8,171,179
M,13,"Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες",2013,Απρίλιος,0,0,0,1063,1063
N,14,Διοικητικές και υποστηρικτικές δραστηριότητες,2013,Απρίλιος,0,0,5,779,784
O,15,Δημόσια διοίκηση και άμυνα. Υποχρεωτική κοινωνική ασφάλιση,2013,Απρίλιος,0,0,0,2767,2767
P,16,Εκπαίδευση,2013,Απρίλιος,0,0,0,418,418
Q,17,Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα,2013,Απρίλιος,0,0,0,340,340
R,18,"Τέχνες, διασκέδαση και ψυχαγωγία",2013,Απρίλιος,0,0,7,394,401
S,19,Άλλες δραστηριότητες παροχής υπηρεσιών,2013,Απρίλιος,0,0,11,476,487
T,20,Δραστηριότητες νοικοκυριών ως εργοδοτών,2013,Απρίλιος,0,0,0,50,50
U,21,Δραστηριότητες ετερόδικων οργανισμών και φορέων,2013,Απρίλιος,0,0,0,19,19
N/A,22,Μη δηλωμένη οικονομική δραστηριότητα,2013,Απρίλιος,0,0,0,2627,2627
LIM,23,Λιμενεργάτες,2013,Απρίλιος,0,0,0,0,0
Σύνολο,Σύνολο,Σύνολο,2013,Απρίλιος,58,0,2888,28941,31887
A,1,"Γεωργία, δασοκομία και αλιεία",2013,Μάιος,0,0,0,157,157
B,2,Ορυχεία και λατομεία,2013,Μάιος,0,0,0,74,74
C,3,Μεταποίηση,2013,Μάιος,27,0,0,3092,3119
D,4,"Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού",2013,Μάιος,0,0,0,18,18
E,5,"Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης",2013,Μάιος,0,0,0,22,22
F,6,Κατασκευές,2013,Μάιος,0,0,6,5028,5034
G,7,Χονδρικό και λιανικό εμπόριο.  Επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών,2013,Μάιος,0,0,12,6133,6145
H,8,Μεταφορά και αποθήκευση,2013,Μάιος,0,0,3,747,750
I,9,Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης,2013,Μάιος,0,0,1070,1820,2890
J,10,Ενημέρωση και επικοινωνία,2013,Μάιος,0,0,0,431,431
K,11,Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες,2013,Μάιος,0,0,0,699,699
L,12,Διαχείριση ακίνητης περιουσίας,2013,Μάιος,0,0,3,174,177
M,13,"Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες",2013,Μάιος,0,0,0,1139,1139
N,14,Διοικητικές και υποστηρικτικές δραστηριότητες,2013,Μάιος,0,0,1,593,594
O,15,Δημόσια διοίκηση και άμυνα. Υποχρεωτική κοινωνική ασφάλιση,2013,Μάιος,0,0,0,2652,2652
P,16,Εκπαίδευση,2013,Μάιος,0,0,0,506,506
Q,17,Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα,2013,Μάιος,0,0,0,324,324
R,18,"Τέχνες, διασκέδαση και ψυχαγωγία",2013,Μάιος,0,0,4,313,317
S,19,Άλλες δραστηριότητες παροχής υπηρεσιών,2013,Μάιος,0,0,5,398,403
T,20,Δραστηριότητες νοικοκυριών ως εργοδοτών,2013,Μάιος,0,0,0,45,45
U,21,Δραστηριότητες ετερόδικων οργανισμών και φορέων,2013,Μάιος,0,0,0,18,18
N/A,22,Μη δηλωμένη οικονομική δραστηριότητα,2013,Μάιος,0,0,0,2449,2449
LIM,23,Λιμενεργάτες,2013,Μάιος,0,0,0,18,18
Σύνολο,Σύνολο,Σύνολο,2013,Μάιος,27,0,1104,26850,27981
A,1,"Γεωργία, δασοκομία και αλιεία",2013,Ιούνιος,0,0,0,156,156
B,2,Ορυχεία και λατομεία,2013,Ιούνιος,0,0,0,80,80
C,3,Μεταποίηση,2013,Ιούνιος,12,0,0,3071,3083
D,4,"Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού",2013,Ιούνιος,0,0,0,22,22
E,5,"Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης",2013,Ιούνιος,0,0,0,18,18
F,6,Κατασκευές,2013,Ιούνιος,0,0,0,4978,4978
G,7,Χονδρικό και λιανικό εμπόριο.  Επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών,2013,Ιούνιος,0,0,0,5965,5965
H,8,Μεταφορά και αποθήκευση,2013,Ιούνιος,0,0,0,645,645
I,9,Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης,2013,Ιούνιος,0,0,519,1473,1992
J,10,Ενημέρωση και επικοινωνία,2013,Ιούνιος,0,0,0,486,486
K,11,Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες,2013,Ιούνιος,0,0,0,668,668
L,12,Διαχείριση ακίνητης περιουσίας,2013,Ιούνιος,0,0,0,163,163
M,13,"Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες",2013,Ιούνιος,0,0,0,1218,1218
N,14,Διοικητικές και υποστηρικτικές δραστηριότητες,2013,Ιούνιος,0,0,0,545,545
O,15,Δημόσια διοίκηση και άμυνα. Υποχρεωτική κοινωνική ασφάλιση,2013,Ιούνιος,0,0,0,2651,2651
P,16,Εκπαίδευση,2013,Ιούνιος,0,0,0,2214,2214
Q,17,Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα,2013,Ιούνιος,0,0,0,327,327
R,18,"Τέχνες, διασκέδαση και ψυχαγωγία",2013,Ιούνιος,0,0,5,280,285
S,19,Άλλες δραστηριότητες παροχής υπηρεσιών,2013,Ιούνιος,0,0,4,467,471
T,20,Δραστηριότητες νοικοκυριών ως εργοδοτών,2013,Ιούνιος,0,0,0,48,48
U,21,Δραστηριότητες ετερόδικων οργανισμών και φορέων,2013,Ιούνιος,0,0,0,18,18
N/A,22,Μη δηλωμένη οικονομική δραστηριότητα,2013,Ιούνιος,0,0,0,2235,2235
LIM,23,Λιμενεργάτες,2013,Ιούνιος,0,0,0,22,22
Σύνολο,Σύνολο,Σύνολο,2013,Ιούνιος,12,0,528,27750,28290
A,1,"Γεωργία, δασοκομία και αλιεία",2013,Ιούλιος,0,0,0,162,162
B,2,Ορυχεία και λατομεία,2013,Ιούλιος,0,0,0,78,78
C,3,Μεταποίηση,2013,Ιούλιος,7,0,0,3063,3070
D,4,"Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού",2013,Ιούλιος,0,0,0,20,20
E,5,"Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης",2013,Ιούλιος,0,0,0,15,15
F,6,Κατασκευές,2013,Ιούλιος,0,0,0,5064,5064
G,7,Χονδρικό και λιανικό εμπόριο.  Επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών,2013,Ιούλιος,0,0,0,5991,5991
H,8,Μεταφορά και αποθήκευση,2013,Ιούλιος,0,0,0,663,663
I,9,Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης,2013,Ιούλιος,0,0,409,1462,1871
J,10,Ενημέρωση και επικοινωνία,2013,Ιούλιος,0,0,0,523,523
K,11,Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες,2013,Ιούλιος,0,0,0,714,714
L,12,Διαχείριση ακίνητης περιουσίας,2013,Ιούλιος,0,0,0,166,166
M,13,"Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες",2013,Ιούλιος,0,0,0,1291,1291
N,14,Διοικητικές και υποστηρικτικές δραστηριότητες,2013,Ιούλιος,0,0,0,514,514
O,15,Δημόσια διοίκηση και άμυνα. Υποχρεωτική κοινωνική ασφάλιση,2013,Ιούλιος,0,0,0,2401,2401
P,16,Εκπαίδευση,2013,Ιούλιος,0,0,0,3314,3314
Q,17,Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα,2013,Ιούλιος,0,0,0,372,372
R,18,"Τέχνες, διασκέδαση και ψυχαγωγία",2013,Ιούλιος,0,0,5,290,295
S,19,Άλλες δραστηριότητες παροχής υπηρεσιών,2013,Ιούλιος,0,0,4,567,571
T,20,Δραστηριότητες νοικοκυριών ως εργοδοτών,2013,Ιούλιος,0,0,0,45,45
U,21,Δραστηριότητες ετερόδικων οργανισμών και φορέων,2013,Ιούλιος,0,0,0,21,21
N/A,22,Μη δηλωμένη οικονομική δραστηριότητα,2013,Ιούλιος,0,0,0,2363,2363
LIM,23,Λιμενεργάτες,2013,Ιούλιος,0,0,0,4,4
Σύνολο,Σύνολο,Σύνολο,2013,Ιούλιος,7,0,418,29103,29528
A,1,"Γεωργία, δασοκομία και αλιεία",2013,Αύγουστος,0,0,0,164,164
B,2,Ορυχεία και λατομεία,2013,Αύγουστος,0,0,0,83,83
C,3,Μεταποίηση,2013,Αύγουστος,0,0,0,2947,2947
D,4,"Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού",2013,Αύγουστος,0,0,0,20,20
E,5,"Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης",2013,Αύγουστος,0,0,0,15,15
F,6,Κατασκευές,2013,Αύγουστος,0,0,0,4807,4807
G,7,Χονδρικό και λιανικό εμπόριο.  Επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών,2013,Αύγουστος,0,0,0,5875,5875
H,8,Μεταφορά και αποθήκευση,2013,Αύγουστος,0,0,0,806,806
I,9,Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης,2013,Αύγουστος,0,0,323,1414,1737
J,10,Ενημέρωση και επικοινωνία,2013,Αύγουστος,0,0,0,506,506
K,11,Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες,2013,Αύγουστος,0,0,0,1975,1975
L,12,Διαχείριση ακίνητης περιουσίας,2013,Αύγουστος,0,0,3,169,172
M,13,"Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες",2013,Αύγουστος,0,0,0,1281,1281
N,14,Διοικητικές και υποστηρικτικές δραστηριότητες,2013,Αύγουστος,0,0,0,478,478
O,15,Δημόσια διοίκηση και άμυνα. Υποχρεωτική κοινωνική ασφάλιση,2013,Αύγουστος,0,0,0,2188,2188
P,16,Εκπαίδευση,2013,Αύγουστος,0,0,0,3444,3444
Q,17,Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα,2013,Αύγουστος,0,0,0,382,382
R,18,"Τέχνες, διασκέδαση και ψυχαγωγία",2013,Αύγουστος,0,0,2,294,296
S,19,Άλλες δραστηριότητες παροχής υπηρεσιών,2013,Αύγουστος,0,0,1,622,623
T,20,Δραστηριότητες νοικοκυριών ως εργοδοτών,2013,Αύγουστος,0,0,0,52,52
U,21,Δραστηριότητες ετερόδικων οργανισμών και φορέων,2013,Αύγουστος,0,0,0,20,20
N/A,22,Μη δηλωμένη οικονομική δραστηριότητα,2013,Αύγουστος,0,0,0,2451,2451
LIM,23,Λιμενεργάτες,2013,Αύγουστος,0,0,0,23,23
Σύνολο,Σύνολο,Σύνολο,2013,Αύγουστος,0,0,329,30016,30345
A,1,"Γεωργία, δασοκομία και αλιεία",2013,Σεπτέμβριος,0,0,0,170,170
B,2,Ορυχεία και λατομεία,2013,Σεπτέμβριος,0,0,0,74,74
C,3,Μεταποίηση,2013,Σεπτέμβριος,12,0,0,2865,2877
D,4,"Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού",2013,Σεπτέμβριος,0,0,0,19,19
E,5,"Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης",2013,Σεπτέμβριος,0,0,0,11,11
F,6,Κατασκευές,2013,Σεπτέμβριος,0,0,8,4552,4560
G,7,Χονδρικό και λιανικό εμπόριο.  Επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών,2013,Σεπτέμβριος,0,0,8,5581,5589
H,8,Μεταφορά και αποθήκευση,2013,Σεπτέμβριος,0,0,1,786,787
I,9,Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης,2013,Σεπτέμβριος,0,0,281,1435,1716
J,10,Ενημέρωση και επικοινωνία,2013,Σεπτέμβριος,0,0,0,482,482
K,11,Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες,2013,Σεπτέμβριος,0,0,0,2063,2063
L,12,Διαχείριση ακίνητης περιουσίας,2013,Σεπτέμβριος,0,0,2,166,168
M,13,"Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες",2013,Σεπτέμβριος,0,0,0,1268,1268
N,14,Διοικητικές και υποστηρικτικές δραστηριότητες,2013,Σεπτέμβριος,0,0,0,472,472
O,15,Δημόσια διοίκηση και άμυνα. Υποχρεωτική κοινωνική ασφάλιση,2013,Σεπτέμβριος,0,0,0,2275,2275
P,16,Εκπαίδευση,2013,Σεπτέμβριος,0,0,0,3244,3244
Q,17,Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα,2013,Σεπτέμβριος,0,0,0,383,383
R,18,"Τέχνες, διασκέδαση και ψυχαγωγία",2013,Σεπτέμβριος,0,0,2,282,284
S,19,Άλλες δραστηριότητες παροχής υπηρεσιών,2013,Σεπτέμβριος,0,0,1,598,599
T,20,Δραστηριότητες νοικοκυριών ως εργοδοτών,2013,Σεπτέμβριος,0,0,0,45,45
U,21,Δραστηριότητες ετερόδικων οργανισμών και φορέων,2013,Σεπτέμβριος,0,0,0,21,21
N/A,22,Μη δηλωμένη οικονομική δραστηριότητα,2013,Σεπτέμβριος,0,0,0,2439,2439
LIM,23,Λιμενεργάτες,2013,Σεπτέμβριος,0,0,0,4,4
Σύνολο,Σύνολο,Σύνολο,2013,Σεπτέμβριος,12,0,303,29235,29550
A,1,"Γεωργία, δασοκομία και αλιεία",2013,Οκτώβριος,0,0,0,168,168
B,2,Ορυχεία και λατομεία,2013,Οκτώβριος,0,0,0,72,72
C,3,Μεταποίηση,2013,Οκτώβριος,18,0,0,2934,2952
D,4,"Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού",2013,Οκτώβριος,0,0,0,26,26
E,5,"Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης",2013,Οκτώβριος,0,0,0,11,11
F,6,Κατασκευές,2013,Οκτώβριος,0,0,10,4520,4530
G,7,Χονδρικό και λιανικό εμπόριο.  Επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών,2013,Οκτώβριος,0,1,7,5515,5523
H,8,Μεταφορά και αποθήκευση,2013,Οκτώβριος,0,0,0,795,795
I,9,Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης,2013,Οκτώβριος,0,1,476,1442,1919
J,10,Ενημέρωση και επικοινωνία,2013,Οκτώβριος,0,0,0,457,457
K,11,Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες,2013,Οκτώβριος,0,0,0,2127,2127
L,12,Διαχείριση ακίνητης περιουσίας,2013,Οκτώβριος,0,0,0,158,158
M,13,"Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες",2013,Οκτώβριος,0,0,0,1263,1263
N,14,Διοικητικές και υποστηρικτικές δραστηριότητες,2013,Οκτώβριος,0,0,0,487,487
O,15,Δημόσια διοίκηση και άμυνα. Υποχρεωτική κοινωνική ασφάλιση,2013,Οκτώβριος,0,0,0,1268,1268
P,16,Εκπαίδευση,2013,Οκτώβριος,0,0,0,1606,1606
Q,17,Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα,2013,Οκτώβριος,0,0,0,383,383
R,18,"Τέχνες, διασκέδαση και ψυχαγωγία",2013,Οκτώβριος,0,0,2,259,261
S,19,Άλλες δραστηριότητες παροχής υπηρεσιών,2013,Οκτώβριος,0,0,4,429,433
T,20,Δραστηριότητες νοικοκυριών ως εργοδοτών,2013,Οκτώβριος,0,0,0,41,41
U,21,Δραστηριότητες ετερόδικων οργανισμών και φορέων,2013,Οκτώβριος,0,0,0,20,20
N/A,22,Μη δηλωμένη οικονομική δραστηριότητα,2013,Οκτώβριος,0,1,5,2587,2593
LIM,23,Λιμενεργάτες,2013,Οκτώβριος,0,0,0,0,0
Σύνολο,Σύνολο,Σύνολο,2013,Οκτώβριος,18,3,504,26568,27093
A,1,"Γεωργία, δασοκομία και αλιεία",2013,Νοέμβριος,0,0,0,154,154
B,2,Ορυχεία και λατομεία,2013,Νοέμβριος,0,0,0,66,66
C,3,Μεταποίηση,2013,Νοέμβριος,33,0,0,2850,2883
D,4,"Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού",2013,Νοέμβριος,0,0,0,42,42
E,5,"Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης",2013,Νοέμβριος,0,0,0,10,10
F,6,Κατασκευές,2013,Νοέμβριος,0,3,15,4328,4346
G,7,Χονδρικό και λιανικό εμπόριο.  Επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών,2013,Νοέμβριος,0,182,22,5435,5639
H,8,Μεταφορά και αποθήκευση,2013,Νοέμβριος,0,41,2,1166,1209
I,9,Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης,2013,Νοέμβριος,0,2146,3393,2443,7982
J,10,Ενημέρωση και επικοινωνία,2013,Νοέμβριος,0,0,1,446,447
K,11,Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες,2013,Νοέμβριος,0,1,0,2049,2050
L,12,Διαχείριση ακίνητης περιουσίας,2013,Νοέμβριος,0,13,7,178,198
M,13,"Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες",2013,Νοέμβριος,0,2,0,1202,1204
N,14,Διοικητικές και υποστηρικτικές δραστηριότητες,2013,Νοέμβριος,0,66,9,663,738
O,15,Δημόσια διοίκηση και άμυνα. Υποχρεωτική κοινωνική ασφάλιση,2013,Νοέμβριος,0,13,0,1103,1116
P,16,Εκπαίδευση,2013,Νοέμβριος,0,10,0,668,678
Q,17,Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα,2013,Νοέμβριος,0,0,1,391,392
